Event_Name,Tweet_Timestamp,Count
ICML 2022 (Tech conference),2022-10-25T00:00:00.000000000,0
ICML 2022 (Tech conference),2022-10-26T00:00:00.000000000,0
ICML 2022 (Tech conference),2022-10-27T00:00:00.000000000,0
ICML 2022 (Tech conference),2022-10-28T00:00:00.000000000,1
Independence Day,2022-10-18T00:00:00.000000000,1
Independence Day,2022-10-19T00:00:00.000000000,0
Independence Day,2022-10-20T00:00:00.000000000,0
Independence Day,2022-10-21T00:00:00.000000000,0
Independence Day,2022-10-22T00:00:00.000000000,0
Independence Day,2022-10-23T00:00:00.000000000,1
Independence Day,2022-10-24T00:00:00.000000000,0
Independence Day,2022-10-25T00:00:00.000000000,0
Independence Day,2022-10-26T00:00:00.000000000,0
Independence Day,2022-10-27T00:00:00.000000000,0
Independence Day,2022-10-28T00:00:00.000000000,1
Independence Day,2022-10-29T00:00:00.000000000,0
Independence Day,2022-10-30T00:00:00.000000000,1
Ireland horse riding,2022-10-27T00:00:00.000000000,1
Jammu Traffic,2022-10-22T00:00:00.000000000,1
Juneteenth,2022-10-19T00:00:00.000000000,1
Juneteenth,2022-10-20T00:00:00.000000000,0
Juneteenth,2022-10-21T00:00:00.000000000,0
Juneteenth,2022-10-22T00:00:00.000000000,0
Juneteenth,2022-10-23T00:00:00.000000000,0
Juneteenth,2022-10-24T00:00:00.000000000,0
Juneteenth,2022-10-25T00:00:00.000000000,0
Juneteenth,2022-10-26T00:00:00.000000000,0
Juneteenth,2022-10-27T00:00:00.000000000,0
Juneteenth,2022-10-28T00:00:00.000000000,1
Juneteenth,2022-10-29T00:00:00.000000000,0
Juneteenth,2022-10-30T00:00:00.000000000,1
Kannan Gill - Standup,2022-10-23T00:00:00.000000000,1
Kpop,2022-10-24T00:00:00.000000000,1
Kuttiyatam,2022-10-26T00:00:00.000000000,1
Labor Day,2022-10-22T00:00:00.000000000,1
LandScape 2022,2022-10-30T00:00:00.000000000,1
Marine Cops Training,2022-10-29T00:00:00.000000000,1
Mecca Madina,2022-10-25T00:00:00.000000000,1
Mecca Madina,2022-10-26T00:00:00.000000000,0
Mecca Madina,2022-10-27T00:00:00.000000000,0
Mecca Madina,2022-10-28T00:00:00.000000000,1
Memorial Day,2022-10-25T00:00:00.000000000,1
Memorial Day,2022-10-26T00:00:00.000000000,1
Memorial Day,2022-10-27T00:00:00.000000000,0
Memorial Day,2022-10-28T00:00:00.000000000,0
Memorial Day,2022-10-29T00:00:00.000000000,0
Memorial Day,2022-10-30T00:00:00.000000000,0
Memorial Day,2022-10-31T00:00:00.000000000,1
Memorial Day,2022-11-01T00:00:00.000000000,1
Motivational Talks,2022-10-29T00:00:00.000000000,1
Motor Traffic,2022-10-24T00:00:00.000000000,1
Movie,2022-11-01T00:00:00.000000000,1
Movie shoot,2022-10-30T00:00:00.000000000,1
Mumbai Traffic updates,2022-10-21T00:00:00.000000000,1
Munich show,2022-10-23T00:00:00.000000000,1
Olympics 2023,2022-10-21T00:00:00.000000000,1
Olympics 2023,2022-10-22T00:00:00.000000000,0
Olympics 2023,2022-10-23T00:00:00.000000000,0
Olympics 2023,2022-10-24T00:00:00.000000000,1
Olympics 2023,2022-10-25T00:00:00.000000000,2
Olympics 2023,2022-10-26T00:00:00.000000000,0
Olympics 2023,2022-10-27T00:00:00.000000000,0
